# Monte Carlo Training Database - Site-Specific Surrogate
# Metro Center Slope, Jackson MS (Yazoo Clay)
# Generated   : 2026-04-04 01:22:23
# Input file  : E:\Github\MCP_Geostudio\calibration\Metro-Center-slope-final.gsz
# Iterations  : 10
# Seed        : 99
# Sampling    : Latin Hypercube 4D (rainfall loading only)
# NOAA Atlas 14 : Jackson MS, Partial Duration Series
# Mesh nodes  : 201
#
# Varied: return period, storm duration, temporal shape, antecedent state
# Fixed:  all soil parameters, geometry, mesh, boundary conditions
#
# Fixed soil parameters (from calibrated GSZ):
#   Silty Clay: c'=198.4 psf, phi'=20.0 deg
#   Weathered Yazoo Clay in Active Zone: c'=79.3 psf, phi'=19.0 deg
#   Weathered Yazoo Clay: c'=248.5 psf, phi'=19.0 deg
#   Unweathered Yazoo Clay: c'=384.2 psf, phi'=20.0 deg
#
# Time stepping:
#   Antecedent: every 3 days
#   Storm:      every 1 day(s)
#   Recession:  every 2 days
#
# Output per row:
#   Rainfall params + API values + daily storm depths
#   PWP at all 201 mesh nodes at the min-FS time step (psf)
#   Minimum FS from coupled SLOPE/W analysis
#
# Units: depths=inches, API=mm, PWP=psf, FS=dimensionless
#
iter,return_period_yr,storm_duration_days,shape_param,antecedent_state,total_depth_in,API_7d_mm,API_14d_mm,API_21d_mm,API_30d_mm,rain_day_01_in,rain_day_02_in,rain_day_03_in,rain_day_04_in,rain_day_05_in,rain_day_06_in,rain_day_07_in,rain_day_08_in,rain_day_09_in,rain_day_10_in,PWP_N001,PWP_N002,PWP_N003,PWP_N004,PWP_N005,PWP_N006,PWP_N007,PWP_N008,PWP_N009,PWP_N010,PWP_N011,PWP_N012,PWP_N013,PWP_N014,PWP_N015,PWP_N016,PWP_N017,PWP_N018,PWP_N019,PWP_N020,PWP_N021,PWP_N022,PWP_N023,PWP_N024,PWP_N025,PWP_N026,PWP_N027,PWP_N028,PWP_N029,PWP_N030,PWP_N031,PWP_N032,PWP_N033,PWP_N034,PWP_N035,PWP_N036,PWP_N037,PWP_N038,PWP_N039,PWP_N040,PWP_N041,PWP_N042,PWP_N043,PWP_N044,PWP_N045,PWP_N046,PWP_N047,PWP_N048,PWP_N049,PWP_N050,PWP_N051,PWP_N052,PWP_N053,PWP_N054,PWP_N055,PWP_N056,PWP_N057,PWP_N058,PWP_N059,PWP_N060,PWP_N061,PWP_N062,PWP_N063,PWP_N064,PWP_N065,PWP_N066,PWP_N067,PWP_N068,PWP_N069,PWP_N070,PWP_N071,PWP_N072,PWP_N073,PWP_N074,PWP_N075,PWP_N076,PWP_N077,PWP_N078,PWP_N079,PWP_N080,PWP_N081,PWP_N082,PWP_N083,PWP_N084,PWP_N085,PWP_N086,PWP_N087,PWP_N088,PWP_N089,PWP_N090,PWP_N091,PWP_N092,PWP_N093,PWP_N094,PWP_N095,PWP_N096,PWP_N097,PWP_N098,PWP_N099,PWP_N100,PWP_N101,PWP_N102,PWP_N103,PWP_N104,PWP_N105,PWP_N106,PWP_N107,PWP_N108,PWP_N109,PWP_N110,PWP_N111,PWP_N112,PWP_N113,PWP_N114,PWP_N115,PWP_N116,PWP_N117,PWP_N118,PWP_N119,PWP_N120,PWP_N121,PWP_N122,PWP_N123,PWP_N124,PWP_N125,PWP_N126,PWP_N127,PWP_N128,PWP_N129,PWP_N130,PWP_N131,PWP_N132,PWP_N133,PWP_N134,PWP_N135,PWP_N136,PWP_N137,PWP_N138,PWP_N139,PWP_N140,PWP_N141,PWP_N142,PWP_N143,PWP_N144,PWP_N145,PWP_N146,PWP_N147,PWP_N148,PWP_N149,PWP_N150,PWP_N151,PWP_N152,PWP_N153,PWP_N154,PWP_N155,PWP_N156,PWP_N157,PWP_N158,PWP_N159,PWP_N160,PWP_N161,PWP_N162,PWP_N163,PWP_N164,PWP_N165,PWP_N166,PWP_N167,PWP_N168,PWP_N169,PWP_N170,PWP_N171,PWP_N172,PWP_N173,PWP_N174,PWP_N175,PWP_N176,PWP_N177,PWP_N178,PWP_N179,PWP_N180,PWP_N181,PWP_N182,PWP_N183,PWP_N184,PWP_N185,PWP_N186,PWP_N187,PWP_N188,PWP_N189,PWP_N190,PWP_N191,PWP_N192,PWP_N193,PWP_N194,PWP_N195,PWP_N196,PWP_N197,PWP_N198,PWP_N199,PWP_N200,PWP_N201,min_FS,min_FS_step,n_fs_steps,converged
1,5.6,5,0.8488,wet,7.555,133.5,173.2,204.0,210.3,0.668013,0.946827,1.342011,1.902136,2.696045,0.0,0.0,0.0,0.0,0.0,3612.449,3019.6417,2439.2438,1869.4086,1307.2541,749.141,499.4273,0.0,3019.5631,1307.2286,3612.3664,2439.1769,1869.3601,749.141,499.4273,0.0,3019.3166,1307.1485,3612.1072,2438.9673,1869.2078,749.1409,499.4273,0.0,1307.0037,3611.6376,749.1409,499.4272,0.0,3018.8701,2438.5878,1868.9323,3018.1709,1306.7777,3610.9019,2437.994,1868.5018,749.1407,499.4272,0.0,3017.1479,2437.1274,1867.8754,1306.4498,3609.8245,749.1406,499.4271,0.0,1306.0004,3608.3132,749.1403,499.4269,0.0,3015.7162,2435.9224,1867.0114,3606.2624,3013.7846,2434.3219,1865.8875,1305.4264,749.1402,499.4268,0.0,3011.2583,1304.7839,3603.5428,2432.3083,1864.5553,749.1393,499.4262,0.0,3008.0028,1304.334,3599.9586,2429.9605,1863.2774,749.1411,499.4274,0.0,3003.7383,2427.275,1863.0642,1305.0443,3595.1623,749.1345,499.423,0.0,3588.5734,2997.8882,2423.8082,1864.0235,1314.1614,749.1686,499.4458,0.0,749.099,499.3993,0.0,1326.1152,3579.3826,2989.5333,2418.2699,813.8118,1864.5258,749.1084,499.4056,0.0,3566.7104,2977.5828,2408.8261,1860.4603,1334.0127,830.983,749.0967,499.3978,0.0,3549.8883,2961.1501,2393.794,1848.5697,1326.7413,829.7314,749.1002,499.4002,0.0,3528.7566,2939.9259,2372.4237,1827.2655,1306.2032,811.7475,749.07,499.38,0.0,2914.4126,1272.6384,3503.8674,2345.0779,1797.0623,775.4599,749.146,499.4308,0.0,690.3555,3476.553,2885.9814,2313.2437,1759.4157,1226.8467,720.008,748.7601,499.1732,0.0,424.1062,2856.8053,1171.7047,3448.8534,2279.4631,1717.3507,646.519,-408.3672,-1175.7193,0.0,141.3538,3423.3023,2829.6454,2247.2133,1675.633,1114.2995,561.2205,-785.3436,-1435.8142,0.0,-135.8859,2807.4673,2220.4134,1640.1405,1064.0666,487.8572,3402.5742,-960.8996,-1435.8163,0.0,-261.9912,3389.0406,2792.9269,2202.6587,1616.3312,1030.3309,438.1796,3384.3352,2787.8617,2196.4435,1607.9697,1018.4163,421.6624,-297.6724,-1011.3114,-1435.8163,0.0,0.998964,18,19,1
2,20.679,6,0.0713,dry,9.7163,3.8,7.8,25.2,62.3,3.234015,2.295112,1.628792,1.155919,0.820331,0.582172,0.0,0.0,0.0,0.0,3617.6416,3024.5811,2443.4476,1872.4649,1308.8621,749.1418,499.4279,0.0,3024.502,1308.8364,3617.5584,2443.3803,1872.416,749.1418,499.4279,0.0,3024.2543,1308.756,3617.298,2443.1697,1872.2631,749.1418,499.4278,0.0,1308.6112,3616.8284,749.1417,499.4278,0.0,3023.8078,2442.7902,1871.9876,3023.113,1308.3869,3616.0973,2442.2004,1871.5601,749.1416,499.4277,0.0,3022.1042,2441.3464,1870.9434,1308.0642,3615.0346,749.1414,499.4276,0.0,1307.627,3613.5567,749.1412,499.4274,0.0,3020.705,2440.1702,1870.1016,3611.5695,3018.8355,2438.6262,1869.022,1307.0776,749.141,499.4273,0.0,3016.4161,1306.4825,3608.9578,2436.7134,1867.7722,749.1402,499.4268,0.0,3013.3282,1306.1235,3605.5387,2434.5346,1866.643,749.1421,499.428,0.0,3009.3023,2432.1109,1866.7058,1307.0194,3600.9711,749.1353,499.4235,0.0,3594.6664,3003.7571,2429.008,1868.1125,1316.6918,749.1706,499.4471,0.0,749.0995,499.3996,0.0,1329.5033,3585.7889,2995.7469,2423.9088,815.874,1869.2207,749.1091,499.406,0.0,3573.4172,2984.1347,2414.9186,1865.8089,1338.4077,834.3111,749.0972,499.3982,0.0,3556.8364,2967.9822,2400.2824,1854.5055,1331.951,834.0989,749.1007,499.4005,0.0,3535.8492,2946.9379,2379.1957,1833.6441,1312.0472,816.9298,749.0706,499.3804,0.0,2921.484,1278.9322,3510.989,2351.9971,1803.7239,781.2749,749.1462,499.4309,0.0,693.1246,3483.593,2892.9957,2320.1779,1766.2069,1233.4191,726.2651,748.762,499.1744,0.0,429.2131,2863.6726,1178.4049,3455.7277,2286.3059,1724.1418,653.0706,-401.9783,-1170.2128,0.0,147.8884,3429.9697,2836.3187,2253.9008,1682.3336,1121.0033,567.9289,-777.9284,-1435.8122,0.0,-128.688,2813.9506,2226.934,1646.7121,1070.6938,494.5451,3409.0437,-953.769,-1435.8144,0.0,-255.0391,3395.3685,2799.2725,2209.0528,1622.7931,1036.8649,444.7788,3390.6119,2794.1571,2202.7905,1614.3886,1024.91,428.21,-290.9216,-1004.4419,-1435.8144,0.0,0.998963,19,20,1
