trial,log_ksat_wyc,log_kyx,log_ksat_uyc,ksat_wyc,kyx_awyc,ksat_uyc,rmse_psf,rmse_kpa,n_pts,solve_s
67,-5.2071,5.699,-4.4403,6.207749250581512e-06,499999.99999999994,3.628651495164408e-05,639.27,30.6085,327,284.6
68,-5.1696,5.4403,-4.5658,6.766810159790217e-06,275604.5255707307,2.717805080122322e-05,638.29,30.5613,327,288.0
69,-5.1509,5.699,-4.5093,7.065320476408389e-06,499999.99999999994,3.095092867843336e-05,638.38,30.566,327,286.2
70,-5.1519,5.699,-4.5834,7.048588056106198e-06,499999.99999999994,2.609970360810206e-05,638.48,30.5709,327,290.0
71,-5.1709,5.5624,-4.5126,6.746808379239416e-06,365102.4089505767,3.072050039352499e-05,638.27,30.5606,327,287.9
72,-5.1916,5.681,-4.5652,6.432479260575191e-06,479739.4589987141,2.721599064956298e-05,638.43,30.5683,327,286.4
73,-5.1611,5.699,-4.5233,6.901500090761381e-06,499999.99999999994,2.9971694702403356e-05,638.27,30.5605,327,287.1
74,-5.1672,5.699,-4.4804,6.805070121624469e-06,499999.99999999994,3.3083251629938974e-05,638.36,30.5648,327,287.4
75,-5.169,5.6408,-4.5444,6.7763549364865595e-06,437356.9245465616,2.8547348484537244e-05,638.24,30.5592,327,285.2
76,-5.1646,5.699,-4.5548,6.845156814618055e-06,499999.99999999994,2.7871255735573588e-05,638.26,30.5602,327,284.9
77,-5.1768,5.699,-4.5652,6.6552577810884265e-06,499999.99999999994,2.7216796888026908e-05,638.28,30.561,327,284.7
78,-5.165,5.699,-4.5338,6.839098268381845e-06,499999.99999999994,2.9257871500619532e-05,638.24,30.5593,327,286.3
79,-5.1735,5.6436,-4.5196,6.70607808903142e-06,440145.2566111714,3.02307719744305e-05,638.26,30.5602,327,285.7
80,-5.1713,5.699,-4.5284,6.740580585066328e-06,499999.99999999994,2.9622796982087932e-05,638.24,30.5592,327,285.9
