# Monte Carlo Simulation - GeoStudio SLOPE/W + SEEP/W
# Generated   : 2026-03-23 02:41:56
# Input file  : E:\Github\MCP_Geostudio\Metro-Center.gsz
# Iterations  : 500
# Random seed : 42
# Solver      : C:\Program Files\Seequent\GeoStudio 2024.2\Bin\GeoCmd.exe
# Execution   : Sequential (chained SEEP/W -> SLOPE/W per iteration)
#
# --- Soil Parameter Distributions ---
# CohesionPrime = Lognormal | PhiPrime = Normal (min 1 deg)
# Reference    : Phoon & Kulhawy (1999), Duncan (2000)
#
# SC (Silty Clay): c_mean=198.4 psf  COV=35% | phi_mean=20.0 deg  COV=10%
# AWYC (Weathered Yazoo Clay in Active Zone): c_mean=79.3 psf  COV=40% | phi_mean=19.0 deg  COV=12%
# WYC (Weathered Yazoo Clay): c_mean=248.5 psf  COV=40% | phi_mean=19.0 deg  COV=12%
# UYC (Unweathered Yazoo Clay): c_mean=384.2 psf  COV=30% | phi_mean=20.0 deg  COV=8%
#
# --- Rainfall Distribution ---
# Lognormal | COV = 35% | Zero points fixed
#   Day 4: baseline = 0.01 in/day
#   Day 5: baseline = 0.61 in/day
#   Day 6: baseline = 0.01 in/day
#   Day 8: baseline = 1.0 in/day
#   Day 9: baseline = 0.08 in/day
#
# --- Column Units ---
# cohesion = psf | phi = degrees | rainfall = in/day | FS = dimensionless
#
iter,SC_cohesion_psf,SC_phi_deg,AWYC_cohesion_psf,AWYC_phi_deg,WYC_cohesion_psf,WYC_phi_deg,UYC_cohesion_psf,UYC_phi_deg,rainfall_day4_in_per_day,rainfall_day5_in_per_day,rainfall_day6_in_per_day,rainfall_day8_in_per_day,rainfall_day9_in_per_day,FS_Slope_Stability,FS_FS
31,129.1338,21.5562,63.5617,19.6746,262.6568,14.5613,426.3491,18.4541,0.006183,0.841424,0.005455,0.54997,0.056726,1.433331,0.969572
32,203.6284,20.413,97.7952,18.4786,165.3634,18.2667,372.5825,20.2811,0.008831,0.759221,0.015947,1.325571,0.067877,1.471971,1.080964
33,128.468,20.7928,86.1004,19.9944,280.8233,19.0564,419.4025,21.7007,0.017702,0.546875,0.007156,0.584662,0.082728,1.541902,1.063068
34,154.2396,23.5017,107.408,20.1557,348.8486,15.4334,442.5949,22.2944,0.015138,0.338818,0.006971,1.101802,0.084453,1.653818,1.173197
35,216.5717,18.8583,204.725,15.3325,297.7222,18.673,331.6252,21.7062,0.005088,0.41197,0.009079,1.705993,0.077829,1.719418,1.39944
36,148.7878,20.7911,63.5614,16.5059,303.3097,18.2169,373.045,21.156,0.022307,0.489013,0.011302,1.276643,0.082682,1.280303,0.853017
37,231.2408,18.5332,86.2275,17.7912,380.3366,19.0168,215.8575,20.881,0.007695,0.724606,0.011419,0.80437,0.096101,1.469687,1.002964
38,259.9013,19.1775,58.8773,16.2653,146.5853,24.8209,382.6554,20.1794,0.012673,0.635574,0.006888,0.675034,0.087231,1.252789,0.823031
39,227.0023,21.55,55.8139,20.1431,370.6662,19.1021,545.425,21.838,0.008677,0.72261,0.011525,1.505529,0.084202,1.495158,0.93472
40,336.9638,22.054,112.8484,16.7857,182.8342,17.2687,222.9631,19.3367,0.012665,0.614333,0.008761,0.558483,0.14127,1.456604,1.087981
41,113.7314,19.1607,72.4864,19.8956,154.8771,21.7071,392.2582,19.1478,0.005614,0.458576,0.011976,1.135483,0.102005,1.472817,0.994505
