rain_id,lhs_0,lhs_1,lhs_2,lhs_3,return_period_yr,duration_days,shape,state,total_depth_in
1,0.07534798381467889,0.18704052008264924,0.3804673600295392,0.43421065698021205,1.683,3,0.3805,normal,5.3221
2,0.6352742173707835,0.3414592161210814,0.07962009933654901,0.0713118982410154,80.505,4,0.0796,dry,10.9771
3,0.9572954557748181,0.849871354034811,0.8764006585891396,0.6910783370504662,744.537,9,0.8764,normal,16.3277
