rain_id,slope_height_ft,return_period_yr,storm_duration_days,shape_param,antecedent_state,total_depth_in,API_7d_mm,API_14d_mm,API_21d_mm,API_30d_mm,n_fs_steps,min_fs_calib_strength,min_fs_step,n_pwp_nodes,pwp_min,pwp_max,solve_time_s,status
93,20,263.021,7,0.3524,normal,13.804,29.2,43.5,112.4,198.9,21,0.998962,20,201,-1435.8,3622.6,655.7,OK
68,20,77.008,7,0.6594,normal,12.0132,46.8,63.8,103.8,152.1,21,0.998962,20,201,-1435.8,3622.6,641.0,OK
94,20,16.561,3,0.5784,normal,8.2249,9.9,14.9,31.6,129.6,17,0.998965,16,201,-1435.8,3601.4,611.5,OK
95,20,1.87,8,0.9362,normal,7.1447,43.5,53.5,81.9,158.0,22,0.998962,21,201,-1435.8,3627.4,698.9,OK
96,20,171.163,3,0.9122,normal,11.6435,30.4,69.3,97.7,193.7,17,0.998965,16,201,-1435.8,3601.4,506.4,OK
97,20,93.048,5,0.7228,wet,11.6181,91.7,154.3,172.1,211.1,19,0.998964,18,201,-1435.8,3612.4,528.2,OK
98,20,925.648,4,0.0036,dry,14.585,2.7,10.3,24.2,38.5,18,0.998964,17,201,-1435.8,3607.0,510.6,OK
99,20,3.107,5,0.7799,wet,6.7953,123.6,199.8,199.9,227.2,19,0.998964,18,201,-1435.8,3612.4,599.8,OK
100,20,59.599,10,0.9654,normal,12.7461,5.0,17.5,84.8,195.6,24,0.998961,23,201,-1435.8,3636.4,705.5,OK
