Node,X_ft,Y_ft
1,0.0,0.0
2,0.0,9.6
3,0.0,19.2
4,0.0,28.8
5,0.0,38.4
6,0.0,48.0
7,0.0,52.0
8,0.0,60.0
9,10.0,9.6
10,10.0,38.4
11,10.0,0.0
12,10.0,19.2
13,10.0,28.8
14,10.0,48.0
15,10.0,52.0
16,10.0,60.0
17,20.0,9.6
18,20.0,38.4
19,20.0,0.0
20,20.0,19.2
21,20.0,28.8
22,20.0,48.0
23,20.0,52.0
24,20.0,60.0
25,30.0,38.4
26,30.0,0.0
27,30.0,48.0
28,30.0,52.0
29,30.0,60.0
30,30.0,9.6
31,30.0,19.2
32,30.0,28.8
33,40.0,9.6
34,40.0,38.4
35,40.0,0.0
36,40.0,19.2
37,40.0,28.8
38,40.0,48.0
39,40.0,52.0
40,40.0,60.0
41,50.0,9.6
42,50.0,19.2
43,50.0,28.8
44,50.0,38.4
45,50.0,0.0
46,50.0,48.0
47,50.0,52.0
48,50.0,60.0
49,60.0,38.4
50,60.0,0.0
51,60.0,48.0
52,60.0,52.0
53,60.0,60.0
54,60.0,9.6
55,60.0,19.2
56,60.0,28.8
57,70.0,0.0
58,70.0,9.6
59,70.0,19.2
60,70.0,28.8
61,70.0,38.4
62,70.0,48.0
63,70.0,52.0
64,70.0,60.0
65,80.0,9.6
66,80.0,38.4
67,80.0,0.0
68,80.0,19.2
69,80.0,28.8
70,80.0,48.0
71,80.0,52.0
72,80.0,60.0
73,90.0,9.6
74,90.0,38.4
75,90.0,0.0
76,90.0,19.2
77,90.0,28.8
78,90.0,48.0
79,90.0,52.0
80,90.0,60.0
81,100.0,9.6
82,100.0,19.2
83,100.0,28.8
84,100.0,38.4
85,100.0,0.0
86,100.0,48.0
87,100.0,52.0
88,100.0,60.0
89,110.0,0.0
90,110.0,9.6
91,110.0,19.2
92,110.0,28.8
93,110.0,38.4
94,110.0,48.0
95,110.0,52.0
96,110.0,60.0
97,119.8571,51.8571
98,119.8571,55.8571
99,119.8571,63.5714
100,120.0,38.4
101,120.0,0.0
102,120.0,9.6
103,120.0,19.2
104,120.0,48.0
105,120.0,28.8
106,129.7143,55.7143
107,129.7143,59.7143
108,129.7143,67.1429
109,130.0,0.0
110,130.0,9.6
111,130.0,19.2
112,130.0,28.8
113,130.0,38.4
114,130.0,48.0
115,139.5714,59.5714
116,139.5714,63.5714
117,139.5714,70.7143
118,140.0,0.0
119,140.0,9.6
120,140.0,19.2
121,140.0,28.8
122,140.0,38.4
123,140.0,48.0
124,149.4286,63.4286
125,149.4286,67.4286
126,149.4286,74.2857
127,150.0,0.0
128,150.0,9.6
129,150.0,19.2
130,150.0,28.8
131,150.0,38.4
132,150.0,48.0
133,150.4945,56.5635
134,159.2857,67.2857
135,159.2857,71.2857
136,159.2857,77.8571
137,160.0,9.6
138,160.0,38.4
139,160.0,0.0
140,160.0,19.2
141,160.0,28.8
142,160.0,48.0
143,160.7388,57.8301
144,169.1429,71.1429
145,169.1429,75.1429
146,169.1429,81.4286
147,170.0,0.0
148,170.0,9.6
149,170.0,19.2
150,170.0,28.8
151,170.0,38.4
152,170.0,48.0
153,170.1415,59.8261
154,179.0,75.0
155,179.0,79.0
156,179.0,85.0
157,179.9149,61.4557
158,180.0,9.6
159,180.0,38.4
160,180.0,0.0
161,180.0,19.2
162,180.0,28.8
163,180.0,48.0
164,189.25,75.0
165,189.25,79.0
166,189.25,85.0
167,190.0,0.0
168,190.0,9.6
169,190.0,19.2
170,190.0,28.8
171,190.0,38.4
172,190.0,48.0
173,190.1845,61.4661
174,199.5,75.0
175,199.5,79.0
176,199.5,85.0
177,200.0,9.6
178,200.0,19.2
179,200.0,28.8
180,200.0,38.4
181,200.0,48.0
182,200.0,0.0
183,200.4985,61.3786
184,209.75,75.0
185,209.75,79.0
186,209.75,85.0
187,210.0,0.0
188,210.0,9.6
189,210.0,19.2
190,210.0,28.8
191,210.0,38.4
192,210.0,48.0
193,210.375,65.375
194,210.5,57.5
195,220.0,0.0
196,220.0,9.6
197,220.0,19.2
198,220.0,28.8
199,220.0,38.4
200,220.0,48.0
201,220.0,57.0
202,220.0,66.0
203,220.0,75.0
204,220.0,79.0
205,220.0,85.0
