rain_id,slope_height_ft,return_period_yr,storm_duration_days,shape_param,antecedent_state,total_depth_in,API_7d_mm,API_14d_mm,API_21d_mm,API_30d_mm,n_fs_steps,min_fs_calib_strength,min_fs_step,n_pwp_nodes,pwp_min,pwp_max,solve_time_s,status
1,25,1.683,3,0.3805,normal,5.3221,34.0,36.0,37.7,182.0,17,0.969444,16,205,-1685.5,3601.3,869.0,OK
2,25,80.505,4,0.0796,dry,10.9771,0.5,4.2,14.7,85.7,18,0.969444,17,205,-1685.5,3606.9,748.8,OK
3,25,744.537,9,0.8764,normal,16.3277,30.4,56.6,105.0,182.1,23,0.969442,22,205,-1685.5,3631.8,928.2,OK
